,sig.eff,sig.resVar,sig.AICc,sig.AIC,sig.Rsq,sig.Rsq.ad,sig.cpD1,sig.cpD2,sig.cpE,sig.cpR,sig.cpT,sig.Cy0,sig.cpCQ,sig.cpMR,sig.fluo,sig.init1,sig.init2,sig.cf,sig.b,sig.c,sig.d,sig.e,sig.model,sli.eff,sli.rsq,sli.init,sli.base,exp.point,exp.eff,exp.AIC,exp.resVar,exp.RMSE,exp.init,LRE.eff,LRE.rsq,LRE.base,Names
H_T_2,1.242197,16518.98,508.9341,507.7913,0.9995831,0.9995483,33.57,31.17,NA,NA,NA,NA,NA,NA,7423.516,3829.859,8.603937,NA,-18.49191,3829.859,23244.08,33.77115,l4,1.258399,0.9948956,5.81545,0,31,1.847366,239.0824,111.9638,10.05627,3.15E-05,1.116574,0.3571184,0,H_T_2
N_T_2,1.248408,1623.175,416.1291,414.9862,0.9999101,0.9999026,36.27,34.12,NA,NA,NA,NA,NA,NA,7037.492,3807.196,3.628548,NA,-22.34388,3807.196,20877.78,36.4158,l4,1.253057,0.994534,3.287096,0,34,1.836484,270.6347,145.3358,11.51139,5.80E-06,1.107504,0.3763912,0,N_T_2
S_T_2,1.243935,1002.16,396.8401,395.6972,0.9998977,0.9998892,37.14,35.16,NA,NA,NA,NA,NA,NA,6357.187,3637.794,2.952389,NA,-24.8197,3637.794,17863.99,37.26406,l4,1.246935,0.9925419,2.75841,0,35,1.847491,313.0305,390.2907,18.89014,2.12E-06,1.072548,0.4786287,0,S_T_2
NT_C_2,1.000383,8.205767,204.637,203.4942,0.9960221,0.9956906,8.14,1,NA,NA,NA,NA,NA,NA,3642.538,3641.142,3641.142,NA,-1.638737,3641.142,3821.649,19.34153,l4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NT_C_2
H_C_3,1.242005,11828.86,495.5754,494.4326,0.999677,0.99965,34.32,31.97,NA,NA,NA,NA,NA,NA,7723.47,4049.649,7.562866,NA,-19.39332,4049.649,23837.02,34.5025,l4,1.257073,0.9961542,5.207091,0,31,1.855276,305.3454,949.2701,29.28148,1.79E-05,1.138736,0.2546086,0,H_C_3
N_C_3,1.249801,11774.82,495.3923,494.2494,0.999716,0.9996924,34.78,32.47,NA,NA,NA,NA,NA,NA,8474.722,4390.8,6.077138,NA,-20.02674,4390.8,26309.37,34.95014,l4,1.261267,0.9953373,4.53519,0,32,1.878434,222.0248,51.8751,6.856516,9.88E-06,1.372289,0.5288832,0,N_C_3
S_C_3,1.230819,19016.26,514.5655,513.4226,0.99954,0.9995016,33.45,30.97,NA,NA,NA,NA,NA,NA,7655,4020.035,12.32052,NA,-17.90489,4020.035,23784.64,33.65763,l4,1.251947,0.9963733,7.317663,0,30,1.905504,177.2448,18.33802,4.062538,1.50E-05,1.140192,0.2350068,0,S_C_3
H_T_3,1.226373,29012.52,531.4628,530.32,0.9994131,0.9993642,31.96,29.38,NA,NA,NA,NA,NA,NA,7474.641,3894.245,18.61486,NA,-16.42705,3894.245,23589.47,32.19743,l4,1.251039,0.9950247,10.24235,0,29,1.865675,202.0762,52.64685,6.870271,7.06E-05,1.370067,0.5763633,0,H_T_3
N_T_3,1.227337,6831.156,473.6135,472.4706,0.9996724,0.9996451,35.05,32.74,NA,NA,NA,NA,NA,NA,6676.698,3675.711,8.163603,NA,-20.0473,3675.711,19708.46,35.2282,l4,1.244344,0.9965032,5.260019,0,32,1.872266,215.002,41.65307,6.143948,6.85E-06,1.009282,0.6707835,0,N_T_3
S_T_3,1.21798,9636.949,487.3779,486.2351,0.9996203,0.9995887,34.01,31.6,NA,NA,NA,NA,NA,NA,6707.322,3722.937,13.19229,NA,-18.72074,3722.937,19840.8,34.20283,l4,1.238676,0.9965176,7.782913,0,31,1.857229,247.3249,146.0668,11.48614,1.76E-05,1.024433,0.6230927,0,S_T_3
NT_C_3,1.052061,329.4899,352.3454,351.2025,0.9621764,0.9590244,40,40,NA,NA,NA,NA,NA,NA,3977.088,3506.861,522.305,NA,-21.41609,3506.861,42634304,68.16174,l4,NA,NA,NA,NA,40,1.728934,347.1206,304.3258,16.778,2.51E-07,NA,NA,NA,NT_C_3
H_C_4,1.252882,12640.18,498.229,497.0861,0.9996929,0.9996673,34.05,31.72,NA,NA,NA,NA,NA,NA,7747.778,3957.374,6.073931,NA,-19.41161,3957.374,24387.84,34.23185,l4,1.267265,0.9965253,4.249065,0,31,1.860831,296.5316,714.3535,25.40123,1.95E-05,1.040433,0.6296974,0,H_C_4
N_C_4,1.24859,4712.634,458.7636,457.6208,0.9998254,0.9998109,35.25,33.04,NA,NA,NA,NA,NA,NA,7418.019,3945.838,4.837059,NA,-21.0856,3945.838,22395.63,35.41178,l4,1.257593,0.9954984,3.895743,0,33,1.848749,250.6652,100.577,9.562094,9.61E-06,1.128269,0.2987353,0,N_C_4
S_C_4,1.241804,20448.17,517.4695,516.3266,0.9995651,0.9995288,33.29,30.84,NA,NA,NA,NA,NA,NA,7817.843,3986.908,9.828615,NA,-17.97235,3986.908,24774.62,33.50122,l4,1.261951,0.9967022,5.99116,0,30,1.899112,183.7893,22.80837,4.530732,1.88E-05,1.025261,0.6618552,0,S_C_4
H_T_4,1.243516,12511.3,497.819,496.6762,0.99964,0.99961,33.99,31.65,NA,NA,NA,NA,NA,NA,7283.48,3801.113,7.355688,NA,-19.1984,3801.113,22526.28,34.17998,l4,1.259992,0.9963262,4.865488,0,31,1.85702,238.2239,108.9057,9.917987,1.98E-05,1.040439,0.6151669,0,H_T_4
N_T_4,1.247338,2193.237,428.1689,427.026,0.999893,0.999884,36.01,33.82,NA,NA,NA,NA,NA,NA,7179.177,3855.853,4.072811,NA,-21.79876,3855.853,21459.13,36.15922,l4,1.255705,0.9965199,3.308923,0,33,1.862051,254.8435,114.153,10.18702,4.67E-06,1.009989,0.689535,0,N_T_4
